X2[t],S[t]
138.3276,-51.654873
142.78056,-53.339478
143.97021,-53.79104
143.70059,-53.707867
147.51372,-55.11857
143.97021,-53.79104
137.73886,-51.43558
143.97021,-53.79104
137.75256,-51.45022
145.72906,-54.441013
138.92525,-51.88368
138.929,-51.887684
144.26529,-53.901432
144.26529,-53.901432
143.40552,-53.597466
138.63393,-51.77729
138.929,-51.887684
138.92734,-51.885914
137.45395,-51.33605
143.07564,-53.44987
136.57037,-51.006657
141.58643,-52.883102
139.23357,-52.00821
